fpr,tpr
0.0,0.0
0.0,0.0036101083032490976
0.0,0.036101083032490974
0.003484320557491289,0.036101083032490974
0.003484320557491289,0.06498194945848375
0.006968641114982578,0.06498194945848375
0.006968641114982578,0.1444043321299639
0.010452961672473868,0.1444043321299639
0.010452961672473868,0.24187725631768953
0.013937282229965157,0.24187725631768953
0.013937282229965157,0.3285198555956679
0.017421602787456445,0.3285198555956679
0.017421602787456445,0.35379061371841153
0.020905923344947737,0.35379061371841153
0.020905923344947737,0.4151624548736462
0.024390243902439025,0.4151624548736462
0.024390243902439025,0.4187725631768953
0.027874564459930314,0.4187725631768953
0.027874564459930314,0.4368231046931408
0.0313588850174216,0.4368231046931408
0.0313588850174216,0.516245487364621
0.03484320557491289,0.516245487364621
0.03484320557491289,0.592057761732852
0.03832752613240418,0.592057761732852
0.03832752613240418,0.631768953068592
0.041811846689895474,0.631768953068592
0.041811846689895474,0.6389891696750902
0.04529616724738676,0.6389891696750902
0.04529616724738676,0.7148014440433214
0.04878048780487805,0.7148014440433214
0.04878048780487805,0.7653429602888087
0.05226480836236934,0.7653429602888087
0.05226480836236934,0.7725631768953068
0.05574912891986063,0.7725631768953068
0.05574912891986063,0.776173285198556
0.059233449477351915,0.776173285198556
0.059233449477351915,0.7833935018050542
0.0627177700348432,0.7833935018050542
0.0627177700348432,0.7870036101083032
0.06620209059233449,0.7870036101083032
0.06620209059233449,0.7942238267148014
0.06968641114982578,0.7942238267148014
0.06968641114982578,0.7978339350180506
0.07665505226480836,0.7978339350180506
0.07665505226480836,0.8194945848375451
0.08013937282229965,0.8194945848375451
0.08013937282229965,0.8267148014440433
0.08362369337979095,0.8267148014440433
0.08362369337979095,0.8303249097472925
0.08710801393728224,0.8303249097472925
0.08710801393728224,0.8411552346570397
0.09407665505226481,0.8411552346570397
0.09407665505226481,0.8483754512635379
0.0975609756097561,0.8483754512635379
0.0975609756097561,0.851985559566787
0.10104529616724739,0.851985559566787
0.10104529616724739,0.855595667870036
0.10801393728222997,0.855595667870036
0.10801393728222997,0.8772563176895307
0.11149825783972125,0.8772563176895307
0.11149825783972125,0.8844765342960289
0.11498257839721254,0.8844765342960289
0.11498257839721254,0.8953068592057761
0.11846689895470383,0.8953068592057761
0.11846689895470383,0.8989169675090253
0.12195121951219512,0.9025270758122743
0.1254355400696864,0.9025270758122743
0.1254355400696864,0.9133574007220217
0.1289198606271777,0.9133574007220217
0.1289198606271777,0.9205776173285198
0.13937282229965156,0.9205776173285198
0.13937282229965156,0.924187725631769
0.14285714285714285,0.924187725631769
0.14285714285714285,0.9314079422382672
0.14634146341463414,0.9314079422382672
0.14634146341463414,0.9422382671480144
0.14982578397212543,0.9422382671480144
0.14982578397212543,0.9530685920577617
0.156794425087108,0.9530685920577617
0.156794425087108,0.9566787003610109
0.17770034843205576,0.9566787003610109
0.17770034843205576,0.9602888086642599
0.18815331010452963,0.9602888086642599
0.18815331010452963,0.9638989169675091
0.24041811846689895,0.9638989169675091
0.24041811846689895,0.9675090252707581
0.24390243902439024,0.9675090252707581
0.24390243902439024,0.9711191335740073
0.2578397212543554,0.9711191335740073
0.2578397212543554,0.9747292418772563
0.28222996515679444,0.9747292418772563
0.28222996515679444,0.9783393501805054
0.3310104529616725,0.9783393501805054
0.3310104529616725,0.9819494584837545
0.49477351916376305,0.9819494584837545
0.49477351916376305,0.9855595667870036
0.5087108013937283,0.9855595667870036
0.5087108013937283,0.9891696750902527
0.5435540069686411,0.9891696750902527
0.5435540069686411,0.9927797833935018
0.5574912891986062,0.9927797833935018
0.5574912891986062,0.9963898916967509
0.8327526132404182,0.9963898916967509
0.8327526132404182,1.0
1.0,1.0
