,precision,recall,f1-score,support
0,0.92,0.87,0.89,287.0
1,0.86,0.91,0.88,246.0
accuracy,0.89,0.89,0.89,0.89
macro avg,0.89,0.89,0.89,533.0
weighted avg,0.89,0.89,0.89,533.0
