prob_alagar,classe_binaria_prevista,risco
0.8982591,1,alto
0.88946307,1,alto
0.0014306947,0,baixo
0.99303025,1,alto
0.31891522,0,medio
0.11537359,0,baixo
0.94377434,1,alto
0.9665636,1,alto
0.99223644,1,alto
0.0019896377,0,baixo
0.010388564,0,baixo
0.46673813,0,medio
0.6685011,1,medio
0.01963218,0,baixo
0.016125606,0,baixo
0.4345659,0,medio
0.91397375,1,alto
0.038236633,0,baixo
0.0015604962,0,baixo
0.44475654,0,medio
0.7433027,1,alto
0.9870155,1,alto
0.9585,1,alto
0.963452,1,alto
0.9219342,1,alto
0.009356527,0,baixo
0.97524196,1,alto
0.9208689,1,alto
0.9076984,1,alto
0.30936214,0,medio
0.0011343586,0,baixo
0.005172965,0,baixo
0.022068176,0,baixo
0.99424696,1,alto
0.7061007,1,alto
0.010034344,0,baixo
0.9829153,1,alto
0.9970329,1,alto
0.0028792692,0,baixo
0.196551,0,baixo
0.9715668,1,alto
0.35018098,0,medio
0.96191293,1,alto
0.07208463,0,baixo
0.66526663,1,medio
0.022551881,0,baixo
0.93558544,1,alto
0.001330574,0,baixo
0.7739085,1,alto
0.84265953,1,alto
0.06810255,0,baixo
0.21096049,0,baixo
0.9975579,1,alto
0.047011714,0,baixo
0.9335284,1,alto
0.0023089536,0,baixo
0.0016370651,0,baixo
0.04263763,0,baixo
0.41206548,0,medio
0.24666741,0,baixo
0.14286117,0,baixo
0.97778815,1,alto
0.002077823,0,baixo
0.26915115,0,baixo
0.9356346,1,alto
0.0039568427,0,baixo
0.55435085,1,medio
0.3190385,0,medio
0.96327555,1,alto
0.1645825,0,baixo
0.9939965,1,alto
0.9945608,1,alto
0.34545797,0,medio
0.30530617,0,medio
0.0011327853,0,baixo
0.8531804,1,alto
0.69442475,1,medio
0.9272428,1,alto
0.26143643,0,baixo
0.92739,1,alto
0.9281819,1,alto
0.0023079826,0,baixo
0.965998,1,alto
0.74310094,1,alto
0.123261794,0,baixo
0.40276387,0,medio
0.9976399,1,alto
0.6311684,1,medio
0.45299733,0,medio
0.89831495,1,alto
0.9856883,1,alto
0.0071424576,0,baixo
0.97594494,1,alto
0.017544815,0,baixo
0.8912325,1,alto
0.5057672,1,medio
0.3715344,0,medio
0.0034982786,0,baixo
0.0031224994,0,baixo
0.06879077,0,baixo
0.71149915,1,alto
0.9737179,1,alto
0.97246146,1,alto
0.015379913,0,baixo
0.922714,1,alto
0.9932075,1,alto
0.020333992,0,baixo
0.16748075,0,baixo
0.8922203,1,alto
0.9457129,1,alto
0.76844215,1,alto
0.005252121,0,baixo
0.90945625,1,alto
0.015585007,0,baixo
0.99431145,1,alto
0.001294331,0,baixo
0.3532481,0,medio
0.93909913,1,alto
0.89700675,1,alto
0.03656829,0,baixo
0.67265975,1,medio
0.8947263,1,alto
0.79508424,1,alto
0.656166,1,medio
0.00084436033,0,baixo
0.0048814085,0,baixo
0.19131315,0,baixo
0.9908557,1,alto
0.9978822,1,alto
0.88190687,1,alto
0.4352275,0,medio
0.7877679,1,alto
0.97438383,1,alto
0.0009989039,0,baixo
0.0015227593,0,baixo
0.880271,1,alto
0.006420913,0,baixo
0.002151117,0,baixo
0.0036794108,0,baixo
0.28813922,0,baixo
0.04096129,0,baixo
0.37293395,0,medio
0.79391205,1,alto
0.0054648127,0,baixo
0.0047204657,0,baixo
0.088268295,0,baixo
0.67286956,1,medio
0.96411896,1,alto
0.010120815,0,baixo
0.10118321,0,baixo
