prob_alagar_calibrada,classe_binaria_prevista_F2,risco,y_real
1.0,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.9871794581413269,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.2666666805744171,1,alto,1
0.7906976938247681,1,alto,1
0.7342324256896973,1,alto,1
0.8333333134651184,1,alto,1
0.3333333432674408,1,alto,1
0.7342324256896973,1,alto,1
0.7342324256896973,1,alto,1
0.7777777910232544,1,alto,1
0.9743589758872986,1,alto,1
0.9743589758872986,1,alto,1
0.9743589758872986,1,alto,1
0.9743589758872986,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9615384340286255,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.7777777910232544,1,alto,1
0.9615384340286255,1,alto,1
0.7777777910232544,1,alto,1
0.7906976938247681,1,alto,1
0.7906976938247681,1,alto,1
0.9615384340286255,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
0.9946978092193604,1,alto,1
1.0,1,alto,1
0.9871794581413269,1,alto,1
0.7906976938247681,1,alto,1
1.0,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.7906976938247681,1,alto,1
0.7906976938247681,1,alto,1
0.7777777910232544,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.8333333134651184,1,alto,1
0.8333333134651184,1,alto,1
0.8333333134651184,1,alto,1
0.8333333134651184,1,alto,1
0.8333333134651184,1,alto,1
0.8333333134651184,1,alto,1
0.8333333134651184,1,alto,1
0.8333333134651184,1,alto,1
0.8333333134651184,1,alto,1
0.8333333134651184,1,alto,1
0.8333333134651184,1,alto,1
0.8333333134651184,1,alto,1
0.7906976938247681,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9615384340286255,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9743589758872986,1,alto,1
0.9871794581413269,1,alto,1
0.9743589758872986,1,alto,1
0.9615384340286255,1,alto,1
0.7906976938247681,1,alto,1
0.9615384340286255,1,alto,1
0.9743589758872986,1,alto,1
1.0,1,alto,1
0.9743589758872986,1,alto,1
0.3333333432674408,1,alto,1
0.3333333432674408,1,alto,0
0.7906976938247681,1,alto,1
0.2666666805744171,1,alto,1
1.0,1,alto,1
0.9871794581413269,1,alto,0
0.9615384340286255,1,alto,0
0.9871794581413269,1,alto,1
0.9743589758872986,1,alto,1
0.9871794581413269,1,alto,1
0.9743589758872986,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9743589758872986,1,alto,1
0.9743589758872986,1,alto,1
0.9743589758872986,1,alto,1
0.9871794581413269,1,alto,1
0.9743589758872986,1,alto,1
0.9871794581413269,1,alto,1
0.9615384340286255,1,alto,1
1.0,1,alto,1
0.7906976938247681,1,alto,0
1.0,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.8333333134651184,1,alto,0
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.7906976938247681,1,alto,1
0.9743589758872986,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.8333333134651184,1,alto,1
0.8143908977508545,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.7906976938247681,1,alto,1
0.9615384340286255,1,alto,1
0.7906976938247681,1,alto,0
0.7906976938247681,1,alto,1
0.7906976938247681,1,alto,1
0.8333333134651184,1,alto,1
0.7906976938247681,1,alto,0
0.7906976938247681,1,alto,1
0.3333333432674408,1,alto,1
0.3333333432674408,1,alto,0
0.021276595070958138,0,baixo,0
0.021276595070958138,0,baixo,1
0.0714285746216774,0,baixo,0
0.2666666805744171,1,alto,0
0.3333333432674408,1,alto,0
0.7906976938247681,1,alto,1
0.7906976938247681,1,alto,1
0.8153172135353088,1,alto,1
0.7906976938247681,1,alto,0
0.7906976938247681,1,alto,0
0.15000000596046448,0,medio,0
0.0714285746216774,0,baixo,0
0.0714285746216774,0,baixo,0
0.9871794581413269,1,alto,0
0.7906976938247681,1,alto,0
0.2666666805744171,1,alto,0
0.3333333432674408,1,alto,1
0.7777777910232544,1,alto,1
0.021276595070958138,0,baixo,0
0.7906976938247681,1,alto,1
0.7906976938247681,1,alto,1
0.2666666805744171,1,alto,1
0.7906976938247681,1,alto,1
0.2666666805744171,1,alto,1
1.0,1,alto,1
1.0,1,alto,1
0.2666666805744171,1,alto,1
0.2666666805744171,1,alto,1
0.7777777910232544,1,alto,1
0.2666666805744171,1,alto,1
0.2666666805744171,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.9615384340286255,1,alto,1
0.2666666805744171,1,alto,0
0.7906976938247681,1,alto,1
0.2666666805744171,1,alto,0
0.7906976938247681,1,alto,0
0.7906976938247681,1,alto,0
0.05859832465648651,0,baixo,0
0.15000000596046448,0,medio,0
0.2666666805744171,1,alto,0
0.8333333134651184,1,alto,0
0.15000000596046448,0,medio,0
0.021276595070958138,0,baixo,0
0.021276595070958138,0,baixo,0
0.15000000596046448,0,medio,0
0.15000000596046448,0,medio,0
0.0,0,baixo,0
0.15000000596046448,0,medio,0
0.021276595070958138,0,baixo,0
0.8031684160232544,1,alto,1
0.7906976938247681,1,alto,1
0.7906976938247681,1,alto,1
0.7906976938247681,1,alto,1
0.8031684160232544,1,alto,1
0.7906976938247681,1,alto,1
0.7906976938247681,1,alto,1
0.7906976938247681,1,alto,1
0.9615384340286255,1,alto,0
0.0,0,baixo,0
0.021276595070958138,0,baixo,0
0.021276595070958138,0,baixo,0
0.0714285746216774,0,baixo,0
0.021276595070958138,0,baixo,0
0.0714285746216774,0,baixo,0
0.021276595070958138,0,baixo,0
0.021276595070958138,0,baixo,0
0.05859832465648651,0,baixo,0
0.15000000596046448,0,medio,0
0.2666666805744171,1,alto,1
0.2666666805744171,1,alto,1
0.2666666805744171,1,alto,1
0.2666666805744171,1,alto,1
0.2666666805744171,1,alto,1
0.3333333432674408,1,alto,1
0.8333333134651184,1,alto,0
0.9743589758872986,1,alto,0
0.9615384340286255,1,alto,0
0.3333333432674408,1,alto,0
0.3333333432674408,1,alto,0
0.9871794581413269,1,alto,1
0.8282698392868042,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.3953515589237213,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,1
0.9871794581413269,1,alto,0
0.7906976938247681,1,alto,0
0.23814138770103455,0,medio,0
0.0714285746216774,0,baixo,0
0.7777777910232544,1,alto,0
0.7906976938247681,1,alto,0
0.0714285746216774,0,baixo,0
0.2666666805744171,1,alto,0
0.2666666805744171,1,alto,0
0.0714285746216774,0,baixo,0
0.0714285746216774,0,baixo,0
0.2666666805744171,1,alto,0
0.02127659320831299,0,baixo,0
