feature,importance_mean,importance_std
precipitacao_acumulada,0.12132965269442057,0.020033231972211168
precipitacao_chuva,0.0349059571819977,0.012966867773994454
intensidade_chuva,0.026801683303198154,0.003880731691898199
umidade,0.01698185355355014,0.004161236666024571
ponto_orvalho,0.011385949697299424,0.003885643992808418
pressao,0.010548435475205287,0.0030529029030683806
tempo_chuva,0.007562175163684293,0.004800120881974575
temperatura,0.0035847211191119667,0.0019953901946903625
